Our Code,Our Name,Site,Competitor URL,Competitor Product Name,Match Score,Manual Override
CPP096,Perfection Plus Protect+ Blue Ear Loop Masks (002/0048) - 50,dmi_uk,https://www.dmi.co.uk/products/protect-medical-face-masks-3-ply-ear-loop-type-iir-blue-box-50-perf-0020048.html,Perfection Plus Protect+ Medical Face Masks 3 Ply Ear Loop Type IIR,0.83,
CSP043,Durr Orotol Plus 2.5Litre - Each (CDS110P6150),dmi_ie,https://www.dmi.ie/products/durr-orotol-plus-2-5l-durr-cds110p6150.html,Durr Orotol Plus 2.5L,0.60,
CSP043,Durr Orotol Plus 2.5Litre - Each (CDS110P6150),dmi_uk,https://www.dmi.co.uk/products/durr-orotol-plus-2-5l-durr-cds110p6150.html,Durr Orotol Plus 2.5L,0.60,
CSP167,Bossklein Daily Aspirator Cleaner & Disinfectant 5L BOS2488,dentalsky,https://www.dentalsky.com/bossklein-dailyasp-aspirator-cleaner-and-disinfectant-5-litre-refill.html,Bossklein DAILYasp Aspirator Cleaner and Disinfectant - 5 Litre Refill,0.67,
CSP230,UnoDent Disinfectant Surface Wipes Refill Jumbo (CAW585)-200,dmi_ie,https://www.dmi.ie/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html,UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),0.86,
CSP230,UnoDent Disinfectant Surface Wipes Refill Jumbo (CAW585)-200,dmi_uk,https://www.dmi.co.uk/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html,UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),0.86,
CSP327,Bossklein V-WIPE ZERO Refill Alcohol Free Large (BOS2001),dmi_ie,https://www.dmi.ie/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html,Bossklein V-Wipe Zero Jumbo Alcohol Free Surface Disinfectant Wipe Refill Pack 200,0.75,
CSP327,Bossklein V-WIPE ZERO Refill Alcohol Free Large (BOS2001),dmi_uk,https://www.dmi.co.uk/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html,Bossklein V-Wipe Zero Jumbo Alcohol Free Surface Disinfectant Wipe Refill Pack 200,0.75,
CSP340,Bossklein IDactiv Instrument Disinfectant 2.5L (BOS9843),dentalsky,https://www.dentalsky.com/bossklein-idactiv-instrument-disinfectant-2-5-litre-with-dosing-cap.html,Bossklein IDactiv Instrument Disinfectant - 2.5 Litre With Dosing Cap,0.67,
CSP340,Bossklein IDactiv Instrument Disinfectant 2.5L (BOS9843),dmi_ie,https://www.dmi.ie/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html,Bossklein IDactiv Instrument Disinfectant 2.5 Litre,0.67,
CSP340,Bossklein IDactiv Instrument Disinfectant 2.5L (BOS9843),dmi_uk,https://www.dmi.co.uk/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html,Bossklein IDactiv Instrument Disinfectant 2.5 Litre,0.67,
DWG005,Dentsply WaveOne Gold Primary File 25mm (A0753225G0P03),dmi_ie,https://www.dmi.ie/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html,Dentsply Sirona Waveone Gold Primary File 25mm  Pack 3 - Red,0.88,
DWG005,Dentsply WaveOne Gold Primary File 25mm (A0753225G0P03),dmi_uk,https://www.dmi.co.uk/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html,Dentsply Sirona Waveone Gold Primary File 25mm  Pack 3 - Red,0.88,
EIM038,Perfection Plus Tray Lining Paper Blue (PP002/0012B),dmi_ie,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html,Perfection Plus Tray Paper - 250 Pack  Blue,0.71,
EIM038,Perfection Plus Tray Lining Paper Blue (PP002/0012B),dmi_uk,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-blue-perf-0020012b.html,Perfection Plus Tray Paper - 250 Pack  Blue,0.71,
EIM041,Perfection Plus Tray Lining Paper Pink (PP002/0012P),dmi_ie,https://www.dmi.ie/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html,Perfection Plus Tray Paper X 250 Pink,0.71,
EIM041,Perfection Plus Tray Lining Paper Pink (PP002/0012P),dmi_uk,https://www.dmi.co.uk/products/perfection-plus-tray-paper-250pk-pink-perf-0020012p.html,Perfection Plus Tray Paper X 250 Pink,0.71,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,dmi_ie,https://www.dmi.ie/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,1.00,
ELU666,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm,dmi_uk,https://www.dmi.co.uk/products/unotaper-rotary-file-sterile-pack-6-assorted-sx-f3-25mm-uno-elu666.html,UnoDent UnoTaper Rotary File Sterile Assorted SX/F3 25mm - Pack of 6,1.00,
EMV155,VDW C-Pilot Sterile File Size 10 25mm (V040368025010),dmi_ie,https://www.dmi.ie/products/vdw-sterile-c-pilot-files-25mm-size-10-6pk-vdw-368025010.html,VDW Sterile C-Pilot Files 25mm Size 10 Purple 6pk,0.65,
EMV155,VDW C-Pilot Sterile File Size 10 25mm (V040368025010),dmi_uk,https://www.dmi.co.uk/products/vdw-sterile-c-pilot-files-25mm-size-10-6pk-vdw-368025010.html,VDW Sterile C-Pilot Files 25mm Size 10 Purple 6pk,0.65,
ESB016,Edenta Steel Burs Round 23/010 Size 2 (1.204.010) - Pack 5,dmi_ie,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-010-eden-1-204-010.html,Edenta Steel Round Bur R/A Pack 5 Size 2/010,0.72,
ESB016,Edenta Steel Burs Round 23/010 Size 2 (1.204.010) - Pack 5,dmi_uk,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-010-eden-1-204-010.html,Edenta Steel Round Bur R/A Pack 5 Size 2/010,0.72,
ESB017,Edenta Steel Burs Round 23/012 Size 3 (1.204.012) - Pack 5,dmi_ie,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-012-eden-1-204-012.html,Edenta Steel Round Bur R/A Pack 5 Size 3/012,0.72,
ESB017,Edenta Steel Burs Round 23/012 Size 3 (1.204.012) - Pack 5,dmi_uk,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-012-eden-1-204-012.html,Edenta Steel Round Bur R/A Pack 5 Size 3/012,0.72,
ESB018,Edenta Steel Burs Round 23/014 Size 4 (1.204.014) - Pack 5,dmi_ie,https://www.dmi.ie/products/edenta-ra-steel-round-burs-6pk-size-014-eden-1-204-014.html,Edenta Steel Round Bur R/A Pack 5 Size 4/014,0.72,
ESB018,Edenta Steel Burs Round 23/014 Size 4 (1.204.014) - Pack 5,dmi_uk,https://www.dmi.co.uk/products/edenta-ra-steel-round-burs-6pk-size-014-eden-1-204-014.html,Edenta Steel Round Bur R/A Pack 5 Size 4/014,0.72,
